beachId,region,beach,tier,showerCount,nearestM,osmUrls
692,"Crete","Παραλία Δυνόνησος",high,1,115,"https://www.openstreetmap.org/node/3692047645"
386,"Central Macedonia","Blue Dream",high,1,115,"https://www.openstreetmap.org/node/5884457176"
30,"Attica","Μικρό Σέσι",high,1,119,"https://www.openstreetmap.org/node/9186762170"
936,"Ionian Islands","Dassia Beach",high,3,122,"https://www.openstreetmap.org/node/6666101583 https://www.openstreetmap.org/node/11209559440 https://www.openstreetmap.org/node/11209559441"
767,"Crete","Σχίσμα",high,1,129,"https://www.openstreetmap.org/node/5071546529"
144,"Attica","Καψάλι",high,2,131,"https://www.openstreetmap.org/node/9825200081 https://www.openstreetmap.org/node/9825200082"
3,"Attica","Παραλία Έδεμ",high,1,132,"https://www.openstreetmap.org/node/11236098240"
2415,"South Aegean","Παραλία Έλλη",high,6,138,"https://www.openstreetmap.org/node/1770373134 https://www.openstreetmap.org/node/5070152454 https://www.openstreetmap.org/node/1770373148 https://www.openstreetmap.org/node/5070152455 https://www.openstreetmap.org/node/1770373169 https://www.openstreetmap.org/node/1770373121"
1602,"Peloponnese","Χαρακιά",high,1,141,"https://www.openstreetmap.org/node/9655326817"
954,"Ionian Islands","Άγιος Στέφανος",high,3,142,"https://www.openstreetmap.org/node/8893167840 https://www.openstreetmap.org/node/13011422806 https://www.openstreetmap.org/node/8894160604"
873,"Epirus","Παραλία Αμμουδιά",high,4,144,"https://www.openstreetmap.org/node/1448658040 https://www.openstreetmap.org/node/1448658055 https://www.openstreetmap.org/node/1448658057 https://www.openstreetmap.org/node/1448657884"
462,"Central Macedonia","Παραλία Στρατώνι",high,1,144,"https://www.openstreetmap.org/node/8982376718"
2265,"South Aegean","Παραλία Καντούνι",high,1,149,"https://www.openstreetmap.org/node/10108126668"
476,"Central Macedonia","Παραλία Αρμενιστής",high,3,151,"https://www.openstreetmap.org/node/10010463797 https://www.openstreetmap.org/node/10010466441 https://www.openstreetmap.org/node/10010461772"
603,"Crete","Kalyves",high,1,152,"https://www.openstreetmap.org/node/2958895885"
519,"Central Macedonia","Μηλιές",high,1,154,"https://www.openstreetmap.org/node/11541129436"
2423,"South Aegean","Παραλία Καθαρά",high,1,157,"https://www.openstreetmap.org/node/2380388223"
1196,"Ionian Islands","Τσιλιβί",high,1,162,"https://www.openstreetmap.org/node/9922741295"
1487,"Peloponnese","Παραλία Κάντιας",high,2,170,"https://www.openstreetmap.org/node/5594711125 https://www.openstreetmap.org/node/5594718424"
2334,"South Aegean","Ταμ Ταμ",high,2,173,"https://www.openstreetmap.org/node/12168368597 https://www.openstreetmap.org/node/9007759817"
404,"Central Macedonia","Kalamitsi",high,2,183,"https://www.openstreetmap.org/node/4341725246 https://www.openstreetmap.org/node/3715704701"
1507,"Peloponnese","Ατσίγγανος",high,3,186,"https://www.openstreetmap.org/node/12218218543 https://www.openstreetmap.org/node/12218213694 https://www.openstreetmap.org/node/12218233326"
1984,"South Aegean","Άγιος Γεώργιος",high,2,189,"https://www.openstreetmap.org/node/13366376520 https://www.openstreetmap.org/node/5894606959"
2320,"South Aegean","Κόλπος Αγίου Στεφάνου",high,1,190,"https://www.openstreetmap.org/node/12035915701"
235,"Central Greece","Κορασίδα",high,1,193,"https://www.openstreetmap.org/node/12125107309"
3009,"Central Macedonia","Νέα Ρόδα",high,1,195,"https://www.openstreetmap.org/node/7935757059"
948,"Ionian Islands","Moraitika Beach",high,1,196,"https://www.openstreetmap.org/node/13183531301"
1260,"North Aegean","Καρφάς",high,1,197,"https://www.openstreetmap.org/node/11102574824"
442,"Central Macedonia","Sani Hill",high,1,198,"https://www.openstreetmap.org/node/5884457157"
2446,"South Aegean","Παραλία Πεύκοι",high,1,201,"https://www.openstreetmap.org/node/12247804522"
1006,"Ionian Islands","Παραλία Αγίου Γορδίου",high,1,203,"https://www.openstreetmap.org/node/3611402837"
2326,"South Aegean","Μαλιμπού",high,1,213,"https://www.openstreetmap.org/node/9003069218"
899,"Epirus","Καραβοστάσι",high,2,217,"https://www.openstreetmap.org/way/690033930 https://www.openstreetmap.org/node/5246845825"
693,"Crete","Παραλία Επισκοπής",high,1,231,"https://www.openstreetmap.org/node/9968280153"
1717,"South Aegean","Παραπόρτι",high,2,232,"https://www.openstreetmap.org/node/7823341888 https://www.openstreetmap.org/node/7823341986"
986,"Ionian Islands","Παραλία Αχαράβης",high,1,233,"https://www.openstreetmap.org/node/9627710291"
1519,"Peloponnese","Πούλιθρα",high,1,235,"https://www.openstreetmap.org/node/13655210242"
1183,"Ionian Islands","Αλυκανάς",high,1,236,"https://www.openstreetmap.org/node/9932166950"
508,"Central Macedonia","Παραλία Κατερίνης",high,2,243,"https://www.openstreetmap.org/node/5339737362 https://www.openstreetmap.org/node/12917293342"
2406,"South Aegean","Παραλία Καλλιθέας (Nicolas)",medium,1,83,"https://www.openstreetmap.org/node/8940685958"
922,"Epirus","Σοφάς",medium,1,87,"https://www.openstreetmap.org/way/1327618649"
679,"Crete","Καλυψώ",medium,1,91,"https://www.openstreetmap.org/node/11114412180"
913,"Epirus","Παραλία Καλάμι",medium,2,91,"https://www.openstreetmap.org/node/9301460461 https://www.openstreetmap.org/node/9301460458"
430,"Central Macedonia","Oneiro",medium,1,91,"https://www.openstreetmap.org/node/5081651699"
477,"Central Macedonia","Παραλία Ποσείδι",medium,1,97,"https://www.openstreetmap.org/node/5909678547"
1497,"Peloponnese","Ίρια",medium,1,102,"https://www.openstreetmap.org/way/366983280"
1098,"Ionian Islands","Καραβόμυλος",medium,1,106,"https://www.openstreetmap.org/node/26860001"
686,"Crete","Λίμνη",medium,4,120,"https://www.openstreetmap.org/node/12146875737 https://www.openstreetmap.org/node/9133133555 https://www.openstreetmap.org/node/9149448573 https://www.openstreetmap.org/node/12146875736"
2011,"South Aegean","Πάνορμος",medium,1,121,"https://www.openstreetmap.org/node/11102676806"
33,"Attica","Παραλία Μαραθώνα",medium,1,122,"https://www.openstreetmap.org/node/12304287601"
248,"Central Greece","Λιμνιωνάκι",medium,1,128,"https://www.openstreetmap.org/node/13072264607"
818,"East Macedonia and Thrace","Παραδείσος",medium,1,129,"https://www.openstreetmap.org/node/9047456096"
973,"Ionian Islands","Μανδράκι",medium,1,131,"https://www.openstreetmap.org/node/1340038270"
392,"Central Macedonia","Dimotiki Plaz 2",medium,1,136,"https://www.openstreetmap.org/node/12851079091"
1634,"Peloponnese","Παραλία Καλαμάτας",low,1,152,"https://www.openstreetmap.org/node/12299047001"
312,"Central Greece","Χιλιαδού παραλία Γυμνιστών",low,1,153,"https://www.openstreetmap.org/node/4708454679"
512,"Central Macedonia","Παραλία Αγγελοχωρίου",low,1,153,"https://www.openstreetmap.org/way/513680068"
799,"East Macedonia and Thrace","Παχυνάμμος",low,1,164,"https://www.openstreetmap.org/node/5936957155"
1166,"Ionian Islands","Μικρός Γιαλός",low,1,168,"https://www.openstreetmap.org/way/369336497"
785,"East Macedonia and Thrace","Παραλία Καβάλας",low,1,178,"https://www.openstreetmap.org/node/6721205457"
3033,"Crete","Χερσόνησος Αγκισαράς",low,3,180,"https://www.openstreetmap.org/node/6749938404 https://www.openstreetmap.org/node/5334811069 https://www.openstreetmap.org/node/3703769604"
1146,"Ionian Islands","Άγιος Ιωάννης",low,1,184,"https://www.openstreetmap.org/node/5767900986"
1991,"South Aegean","Βίντζι",low,1,186,"https://www.openstreetmap.org/node/9001579188"
1140,"Ionian Islands","Δεσίμι",low,1,186,"https://www.openstreetmap.org/node/1421704277"
1354,"North Aegean","Παραλία Γυμνιστών Ερεσού",low,1,192,"https://www.openstreetmap.org/node/12207251964"
1570,"Peloponnese","Μώλος",low,1,193,"https://www.openstreetmap.org/node/10815737698"
1750,"South Aegean","Λιβάδι",low,5,198,"https://www.openstreetmap.org/node/3761738080 https://www.openstreetmap.org/node/3761738067 https://www.openstreetmap.org/node/3761738063 https://www.openstreetmap.org/node/3761738075 https://www.openstreetmap.org/node/3761736923"
2579,"West Greece","Φάλαρι",low,1,202,"https://www.openstreetmap.org/node/4708036240"
963,"Ionian Islands","Καλυβιώτης",low,1,202,"https://www.openstreetmap.org/node/13049504257"
677,"Crete","Γεροπόταμος",low,1,207,"https://www.openstreetmap.org/node/4416568089"
1059,"Ionian Islands","Μπραγκίνι",low,1,222,"https://www.openstreetmap.org/node/12033645949"
2700,"Thessaly","Μυλοπόταμος",low,1,224,"https://www.openstreetmap.org/node/6627684627"
1171,"Ionian Islands","Πόρτο Κάτσικι",low,1,242,"https://www.openstreetmap.org/node/5289167725"
443,"Central Macedonia","Sarti",low,1,242,"https://www.openstreetmap.org/node/5047548601"
2412,"South Aegean","Κόκκινα",low,1,247,"https://www.openstreetmap.org/node/2369344294"
